ca,snapshot_time,token_age_mins_at_snap,market_cap_at_snap,liquidity_at_snap,holder_distribution,smart_money_metrics,momentum_metrics,social_signal,peak_multiplier,created_at,time_stage,price_usd,smart_money_delta,maker_vol_ratio,overhang_ratio,breakout_vol_ratio,label
5KrZBzjS68wdowwpP5vUkHbGtzaW3KQ98DSEguAJpump,2026-02-23 21:05:07.641258+00:00,1,8496.70,10100.00,"{""top10"": ""22.31%""}",,,"{""ix_data"": {}}",,2026-02-23 21:05:07.641258+00:00,T_0,0.0,0,0.0,0.0,0.0,0
3vs3BwCcymvy2NwTZCutxAravsswbkwY8CanYMeapump,2026-02-23 20:32:41.520850+00:00,0,7054.57,8510.00,"{""top10"": ""24.93%""}",,,"{""ix_data"": {}}",,2026-02-23 20:32:41.520850+00:00,T_0,0.0,0,0.0,0.0,0.0,0
64Qcv2LXnx1ZzyTErk53SZEvaxqQTNR1rchy8hB4pump,2026-02-23 20:23:19.950922+00:00,1,34891.00,13845.22,"{""top10"": ""23.34%""}",,,"{""ix_data"": {}}",,2026-02-23 20:23:19.950922+00:00,T_0,0.0,0,0.0,0.0,0.0,0
5fb2uDqWNxyxno8PoeaBANWawCtbuwwEvtWkbQTrpump,2026-02-23 20:18:56.534406+00:00,3,12392.46,11900.00,"{""top10"": ""27.17%""}",,,"{""ix_data"": {}}",,2026-02-23 20:18:56.534406+00:00,T_0,0.0,0,0.0,0.0,0.0,0
bn6cZwCtztYXYwYxBU3LZ3stinky7Q7QiXQ5Z8ypump,2026-02-23 20:07:53.636812+00:00,3,6097.66,9870.00,"{""top10"": ""23.84%""}",,,"{""ix_data"": {}}",,2026-02-23 20:07:53.636812+00:00,T_0,0.0,0,0.0,0.0,0.0,0
BHwLYTQQL7LDcaoGm5jp1KktUx1YnbE6JytKB9H5Acto,2026-02-23 19:07:07.396600+00:00,92,122324.00,26617.61,"{""top10"": ""24.05%""}",,,"{""ix_data"": {}}",,2026-02-23 19:07:07.396600+00:00,T_0,0.0,0,0.0,0.0,0.0,0
DcSdAKiYh3sx3v6TBGoMX67WmiNzvNXz71KfBc9Cpump,2026-02-23 16:33:19.629162+00:00,10,8839.17,10200.00,"{""top10"": ""26.29%""}",,,"{""ix_data"": {}}",,2026-02-23 16:33:19.629162+00:00,T_0,0.0,0,0.0,0.0,0.0,0
4AYCqf8Pf3AkhsvvqBJnrC1hry9c3fx1dBXGjZEupump,2026-02-23 16:32:23.824954+00:00,0,9641.46,14400.00,"{""top10"": ""24.32%""}",,,"{""ix_data"": {}}",,2026-02-23 16:32:23.824954+00:00,T_0,0.0,0,0.0,0.0,0.0,0
BenK52mM3bx5JZtv2EbB1n5ZzrnK23FQSj6mvFBFpump,2026-02-23 15:08:03.232796+00:00,35,12742.66,0.00,"{""top10"": null}",,,"{""ix_data"": {}}",,2026-02-23 15:08:03.232796+00:00,T_0,0.0,0,0.0,0.0,0.0,0
AaV8nxUw4Vs9o7KvFq68rmvQHni9uLih1B8aSdJupump,2026-02-23 14:55:37.605887+00:00,11,2590.94,0.00,"{""top10"": null}",,,"{""ix_data"": {}}",,2026-02-23 14:55:37.605887+00:00,T_0,0.0,0,0.0,0.0,0.0,0
